KURUM,YIL,LINK
HATAY DEFNE BELEDİYESİ,2020,https://www.sayistay.gov.tr/reports/download/3844-hatay-defne-belediyesi
HATAY İMAR SANAYİ ANONİM ŞİRKETİ,2020,https://www.sayistay.gov.tr/reports/download/3845-hatay-imar-sanayi-anonim-sirketi
ISPARTA BELEDİYESİ,2020,https://www.sayistay.gov.tr/reports/download/3846-isparta-belediyesi
İGDAŞ İSTANBUL GAZ DAĞITIM SANAYİ VE TİCARET ANONİM ŞİRKETİ,2020,https://www.sayistay.gov.tr/reports/download/3847-igdas-istanbul-gaz-dagitim-sanayi-ve-tic
İSPARK İSTANBUL OTOPARK İŞLETMELERİ TİCARET ANONİM ŞİRKETİ,2020,https://www.sayistay.gov.tr/reports/download/3848-ispark-istanbul-otopark-isletmeleri-tica
İSTANBUL ARNAVUTKÖY BELEDİYESİ,2020,https://www.sayistay.gov.tr/reports/download/3849-istanbul-arnavutkoy-belediyesi
İSTANBUL ATAŞEHİR BELEDİYESİ,2020,https://www.sayistay.gov.tr/reports/download/3850-istanbul-atasehir-belediyesi
İSTANBUL BAKIRKÖY BELEDİYESİ,2020,https://www.sayistay.gov.tr/reports/download/3851-istanbul-bakirkoy-belediyesi
İSTANBUL BAYRAMPAŞA BELEDİYESİ,2020,https://www.sayistay.gov.tr/reports/download/3852-istanbul-bayrampasa-belediyesi
İSTANBUL BEŞİKTAŞ BELEDİYESİ,2020,https://www.sayistay.gov.tr/reports/download/3853-istanbul-besiktas-belediyesi
İSTANBUL BEYKOZ BELEDİYESİ,2020,https://www.sayistay.gov.tr/reports/download/3854-istanbul-beykoz-belediyesi
İSTANBUL BEYOĞLU BELEDİYESİ,2020,https://www.sayistay.gov.tr/reports/download/3855-istanbul-beyoglu-belediyesi
İSTANBUL BÜYÜKŞEHİR BELEDİYESİ,2020,https://www.sayistay.gov.tr/reports/download/3856-istanbul-buyuksehir-belediyesi
İSTANBUL ÇEKMEKÖY BELEDİYESİ,2020,https://www.sayistay.gov.tr/reports/download/3857-istanbul-cekmekoy-belediyesi
İSTANBUL ESENLER BELEDİYESİ,2020,https://www.sayistay.gov.tr/reports/download/3858-istanbul-esenler-belediyesi
İSTANBUL KARTAL BELEDİYESİ,2020,https://www.sayistay.gov.tr/reports/download/3859-istanbul-kartal-belediyesi
